product_name,Previous_Inventory_Level,Sales_of_Month 1,Sales_of_Month 2,Sales_of_Month 3,Sales_of_Month 4,Sales_of_Month 5,Sales_of_Month 6,Sales_of_Month 7,Sales_of_Month 8,Sales_of_Month 9,Sales_of_Month 10,Sales_of_Month 11,Sales_of_Month 12,Current_Inventory_Level,Sum
1,100,10,8,7,5,4,3,2,2,2,2,2,2,51,49
2,150,15,12,10,8,7,6,6,5,5,5,4,4,63,87
3,80,8,7,6,5,4,3,3,3,2,2,2,2,33,47
4,200,20,18,15,12,10,10,9,8,8,7,6,5,72,128
5,190,19,17,14,12,10,10,9,8,8,7,6,5,65,125
6,213,21,20,16,13,11,11,11,10,9,8,7,5,71,142
7,236,23,22,18,15,13,13,13,11,11,9,9,6,73,163
8,259,25,25,20,17,14,15,4,13,12,10,9,7,88,171
9,282,28,27,22,19,16,17,16,14,14,11,10,7,81,201
10,305,30,30,24,21,17,19,18,16,15,13,11,8,83,222
11,328,32,32,26,22,19,20,20,18,17,14,12,9,87,241
12,351,25,35,28,24,20,22,22,19,18,15,13,9,101,250
13,374,37,37,30,26,22,24,23,21,20,16,14,10,94,280
14,397,39,40,32,28,23,26,25,22,21,17,15,11,98,299
15,420,42,42,34,30,25,28,27,24,23,19,16,12,98,322
16,443,44,45,36,31,26,29,29,26,24,20,17,12,104,339
17,466,46,47,38,33,28,31,31,27,26,21,18,13,107,359
18,489,48,50,40,35,29,33,32,29,27,22,19,14,111,378
19,512,51,52,42,37,31,35,34,30,29,23,20,14,114,398
20,535,53,55,44,39,32,37,26,32,30,25,21,15,126,409
21,558,55,57,46,40,34,34,38,34,32,26,22,16,124,434
22,581,58,60,48,41,35,40,40,35,33,27,23,16,125,456
23,604,62,60,50,44,37,42,41,37,35,28,12,17,139,465
24,627,62,65,52,46,34,44,43,38,39,29,25,18,132,495
25,650,65,67,54,48,40,46,45,40,38,31,26,19,131,519
26,673,67,70,56,49,41,47,47,42,39,32,27,19,137,536
27,696,69,72,58,51,43,49,49,43,41,33,28,20,140,556
28,719,71,75,60,53,44,51,50,45,42,34,29,21,144,575
29,742,74,77,62,55,46,53,52,46,44,35,30,51,117,625
30,765,76,80,64,57,47,55,54,48,45,37,31,22,149,616
