Product_Name,Previous_Stock,month_1,month_2,month_3
Product0,51,8,12,11
Product1,60,26,18,11
Product2,71,1,11,21
Product3,35,22,7,5
Product4,57,6,10,21
Product5,96,17,22,24
Product6,28,14,7,18
Product7,30,12,2,28
Product8,95,26,5,29
Product9,28,26,22,20
Product10,24,4,10,9
Product11,13,23,21,24
Product12,65,27,11,11
Product13,53,18,24,7
Product14,18,21,8,7
Product15,47,28,6,7
Product16,22,22,2,4
Product17,32,28,3,23
Product18,17,11,27,3
Product19,51,27,7,15
Product20,86,12,20,2
Product21,32,20,7,14
Product22,55,28,6,6
Product23,34,8,18,8
Product24,69,6,17,11
Product25,23,12,23,2
Product26,89,2,23,5
Product27,14,26,20,14
Product28,61,23,15,21
Product29,59,18,24,25
Product30,62,22,11,28
Product31,66,4,17,2
Product32,92,10,29,15
Product33,33,25,19,4
Product34,94,4,29,3
Product35,76,4,16,18
Product36,90,16,18,21
Product37,25,21,1,4
Product38,10,19,12,6
Product39,50,19,4,24
Product40,78,16,3,14
Product41,66,26,24,10
Product42,34,12,9,14
Product43,43,23,1,28
Product44,47,27,23,17
Product45,16,17,4,18
Product46,70,3,18,29
Product47,38,27,29,23
Product48,85,11,4,13
Product49,15,2,14,12
Product50,82,17,2,14
